text;labels
bisakahandatangdanmembantusayamengorganisasiacaralomba yangakanberlangsungminggudepan;Bisakah Anda datang dan membantu saya mengorganisasi acara lomba yang akan berlangsung minggu depan?
sayaberencanamenontonfilmyangsedangtayangdibioskopmalamini;Saya berencana menonton film yang sedang tayang di bioskop malam ini.
apakahandapahamterhadapperaturanparkiryangtelahdiberlakukandiarea kami;Apakah Anda paham terhadap peraturan parkir yang telah diberlakukan di area kami?
sayaberencanamenyewakendaraanuntukperjalananbisniskeluarkota;Saya berencana menyewa kendaraan untuk perjalanan bisnis keluar kota.
sayainginpergiuntukberbelanjadiduaduaduadua;Saya ingin pergi untuk berbelanja di dua-dua-dua.
andadapatmenemukanbukuterbarudidalamtokoitu;Anda dapat menemukan buku terbaru di dalam toko itu.
bisakahandatangdanmembantusayamemindahkanmejabesarkedalamrumahini;Bisakah Anda datang dan membantu saya memindahkan meja besar ke dalam rumah ini?
sayaberencanaberangkatdengankeretadimalamhariini;Saya berencana berangkat dengan kereta di malam hari ini.
apakahandamengingatkansayaukuntukmembayarlistrikbulanini;Apakah Anda mengingatkan saya untuk membayar listrik bulan ini?
sayaberencanamembeliduaunitkomputeryangbaru;Saya berencana membeli dua unit komputer yang baru.
bisakahandatangdanmeninggalkanselembarcatatandipapanitu;Bisakah Anda datang dan meninggalkan selembar catatan di papan itu?
sayaberencanamenyewamobiluntukperjalananliburan;Saya berencana menyewa mobil untuk perjalanan liburan.
apakahandapatmemberikaninformasitentangjadwalpertandingansepakbolaterakhir;Apakah Anda dapat memberikan informasi tentang jadwal pertandingan sepak bola terakhir?
sayaberencanaberjalandijalanyangindahdipegununganhariini;Saya berencana berjalan di jalan yang indah di pegunungan hari ini.
sayamasihpunyabanyakkertaskulakamudisini;Saya masih punya banyak kertas kuliah kamu di sini.
andatidakharamenyadaribahwawaktusudahlebihduajam;Anda tidak menyadari bahwa waktu sudah lebih dua jam.
bisakahandatangdanmembantusayamemperbaikikompotertanggalhariini;Bisakah Anda datang dan membantu saya memperbaiki komputer tertanggal hari ini?
sayaberencanamenjadwalulangpertemuanbesokkarenakonflikjadwal;Saya berencana menjadwal ulang pertemuan besok karena konflik jadwal.
apakahandamengertiinstruksiyangtelahdiberikankemarinyapadatapentingini;Apakah Anda mengerti instruksi yang telah diberikan kemarin pada data penting ini?
sayaberencanaberangkatdengankapaldalamperjalananceritainimemainan;Saya berencana berangkat dengan kapal dalam perjalanan cerita ini mainan.
bisakahandatangdanmenemukankuncirumahsayayanghilang;Bisakah Anda datang dan menemukan kunci rumah saya yang hilang?
sayaberencanamembelianggurmerahdankejuuntukhidanganmalamini;Saya berencana membeli anggur merah dan keju untuk hidangan malam ini.
apakahandapatmenyebutkankembalialamatemailandakarenasayatidakmenemukannya;Apakah Anda dapat menyebutkan kembali alamat email Anda karena saya tidak menemukannya?
sayaberencanamengaturruanganuntukacaradiskusiyangakanberlangsung;Saya berencana mengatur ruangan untuk acara diskusi yang akan berlangsung.
sayamasihbelumdapatmengirimkirimbungkusantersebutkarenawaktusudahmepet;Saya masih belum dapat mengirim kiriman tersebut karena waktu sudah mepet.
bisakahandatangdanmenolongsayamembeliperalatanmasakuntukacarapemangganganbesok;Bisakah Anda datang dan menolong saya membeli peralatan masak untuk acara pemanggangan besok?
andamengingatkanjangantinggalkankuncipinturumahsaatpergikekasihhati;Anda mengingatkan jangan tinggalkan kunci pintu rumah saat pergi ke kasih hati.
sayaberencanamendakipegununganpadasoreharirabuini;Saya berencana mendaki pegunungan pada sore hari Rabu ini.
bisakahandatangdanmengambilbukuterbaruyangsayaorderonlinedarietoko;Bisakah Anda datang dan mengambil buku terbaru yang saya order online dari toko?
andadapatmembantusayamembereskandokumendokumenpentingini;Anda dapat membantu saya membereskan dokumen-dokumen penting ini?
sayaberencanaberliburkepantaiuntukmenghilangkandarahsakit;Saya berencana berlibur ke pantai untuk menghilangkan darah sakit.
apakahandamembantusayamenemukanteleponyangsayatelahkehilangan;Apakah Anda dapat membantu saya menemukan telepon yang saya telah kehilangan?
sayaberencanaberangkatdengankendarayangterparkirdiparkiranluar;Saya berencana berangkat dengan kendaraan yang terparkir di parkiran luar.
bisakahandatangdanmengisiulangairminumdidispenserpadaakhirhariini;Bisakah Anda datang dan mengisi ulang air minum di dispenser pada akhir hari ini?
sayatidaksukaharusegeraangkatkanbarangdariatasmejasebelah;Saya tidak suka harus segera angkatkan barang dari atas meja sebelah.
andaharussegeramenulislaporanharianuntukbosdantidaklupadikirimkanlewatemail;Anda harus segera menulis laporan harian untuk bos dan tidak lupa dikirimkan lewat email.
bisakahandatangdanmenolongsayamenyelesaikantugaspentingini;Bisakah Anda datang dan menolong saya menyelesaikan tugas penting ini?
sayaberencanamembuatpesankartumerahuntukulangtahunkakakbesok;Saya berencana membuat pesan kartu merah untuk ulang tahun kakak besok.
apakahandaingatuntukmengirimkandokumenlampirantugaspadajangkawaktutersebut;Apakah Anda ingat untuk mengirimkan dokumen lampiran tugas pada jangka waktu tersebut?
sayaberencanaberangkatdenganbusuntukperjalananliburankeluarbumi;Saya berencana berangkat dengan bus untuk perjalanan liburan keluar bumi.
bisakahandatangdanmengajarkansayacaraberkendaraandimedianyangpadat;Bisakah Anda datang dan mengajarkan saya cara berkendara di median yang padat?
sayaberencanamembelikuecokelatuntukacarajumatuloyangakanberlangsung;Saya berencana membeli kue cokelat untuk acara jumat uloyang akan berlangsung.
apakahandatidakharamenyadaribahwawaktusudahmepetuntukmengantarnyadisana;Apakah Anda tidak menyadari bahwa waktu sudah mepet untuk mengantarnya disana?
sayaberencanamengaturpertemuanlagikarenakonflikjadwalpribadisayadenganrapat;Saya berencana mengatur pertemuan lagi karena konflik jadwal pribadi saya dengan rapat.
sayainginbelijusapelengkapoutfituntukpesta;Saya ingin beli jus apel lengkap outfit untuk pesta.
andaharusingatkalenderuntuktahunkakitahunini;Anda harus ingat kalender untuk tahun kaki tahun ini.
bisakahandatangdanmembantuakumenguruspapandokumenpenting;Bisakah Anda datang dan membantu aku mengurus papandokumen penting?
sayaberencanaberangkatdenganpesawatpagiinitujuanpantai;Saya berencana berangkat dengan pesawat pagi ini tujuan pantai.
apakahandaingatuntukmematikanlampusebelumdipergi;Apakah Anda ingat untuk mematikan lampu sebelum pergi?
sayaberencanamengajukanpermohonankerjakebosagarbisamenjaditerapimotivasaya;Saya berencana mengajukan permohonan kerja ke bos agar bisa menjadi terapi motivasi saya.
bisakahandatangdanmengingatkansayamemakansarapanpagidahulu;Bisakah Anda datang dan mengingatkan saya makan sarapan pagi dahulu?
sayaberencanamengundangtemanterbaiksayakepestaulangtahun;Saya berencana mengundang teman terbaik saya ke pesta ulang tahun.
apakahandapercayabahwapengalamansayadapatbergunadalampekerjaanini;Apakah Anda percaya bahwa pengalaman saya dapat berguna dalam pekerjaan ini?
sayaberencanamembelikendaraanbarubulandepanuntukkeperluanterkini;Saya berencana membeli kendaraan baru bulan depan untuk keperluan terkini.
sayatinggaldikotakecilinidiwaktukecil;Saya tinggal di kota kecil ini sejak waktu kecil.
andaharussegeramengumpulkandatauntuklaporanbesok;Anda harus segera mengumpulkan data untuk laporan besok.
bisakahandatangdanmenolongsayamembawakantasmu;Bisakah Anda datang dan menolong saya membawakan tasmu?
sayaberencanamembelikuecokelatuntukpestaakhirpekanini;Saya berencana membeli kue cokelat untuk pesta akhir pekan ini.
apakahandatingatsertamengirimkane-mailkepadasaya;Apakah Anda datang serta mengirimkan e-mail kepadasaya?
sayaberencanamenggunakanbisuntukperjalananpanjang;Saya berencana menggunakan bis untuk perjalanan panjang.
bisakahandatangdanmengajarkansayacaraberkebun;Bisakah Anda datang dan mengajarkan saya cara berkebun?
sayaberencanamembelikueultahuntuktemansayayangulangtahun;Saya berencana membeli kue ulang tahun untuk teman saya yang ulang tahun.
apakahandatidaktahubahwawaktusebentarlagi;Apakah Anda tidak tahu bahwa waktu sebentar lagi?
sayaberencanamengaturpertemuanlagidengantemansekolah;Saya berencana mengatur pertemuan lagi dengan teman sekolah.
kamumauikutakuuntukmelakukansesuatuyangmenyenangkan;Kamu mau ikut aku untuk melakukan sesuatu yang menyenangkan?
apakahkamubisamembantusayadenganpekerjaanrumahini;Apakah kamu bisa membantu saya dengan pekerjaan rumah ini?
sayaberencanapergikepantaiuntukmenikmatsinarmatasuryangindah;Saya berencana pergi ke pantai untuk menikmati sinar matahari yang indah.
bisakahandatangdanmenemanisayakepestaakhirpekanini;Bisakah Anda datang dan menemani saya ke pesta akhir pekan ini?
andatidakhilangkesayangankuuntuktahunkemarin;Anda tidak hilangkan kesayangan ku untuk tahun kemarin.
sayaberencanamempekerjakansebuahperusahaanstartup;Saya berencana mempekerjakan sebuah perusahaan startup.
bisakahandatangdanmenjemputkudaristasiunkeretaapi;Bisakah Anda datang dan menjemputku dari stasiun kereta api?
sayaberencanamembelikamupernakpernikuniksebagaisebuahhadiah;Saya berencana membeli kamu pernak-pernik unik sebagai sebuah hadiah.
apakahkamuingatkahkitasudahmembayarlistrikbulanlalu;Apakah kamu ingat kita sudah membayar listrik bulan lalu?
sayaberencanamengajarkanmuolahragabasketdengansenanghati;Saya berencana mengajarkanmu olahraga basket dengan senang hati.
kamupergikelaskesukaanmuapakabar;Kamu pergi ke kelas kesukaanmu, apa kabar?
apakahkamuakanmenghadiriperjamuanmalamini;Apakah kamu akan menghadiri perjamuan malam ini?
sayaberencanamengunjungitempatturismudalamliburanini;Saya berencana mengunjungi tempat wisatamu dalam liburan ini.
bisakahkamumenjemputkusaatpergikebandara;Bisakah kamu menjemputku saat pergi ke bandara?
andatidakhadirpadaacarakelulusanpagiini;Anda tidak hadir pada acara kelulusan pagi ini.
sayaberencanamembelikanbonekasindahuntukkanak-anakitu;Saya berencana membelikan boneka indah untuk anak-anak itu.
bisakahandatangdanmembantukumemilihbajuyangcocok;Bisakah Anda datang dan membantu ku memilih baju yang cocok?
sayaberencanamengajarkanmusenimankucingdengansabar;Saya berencana mengajarkanmu seni menangkap kucing dengan sabar.
apakahkamuingatkahkitaharusberangkatsekarang;Apakah kamu ingat kita harus berangkat sekarang?
sayaberencanamengunjungikampuslamantepatkaliselatan;Saya berencana mengunjungi kampus lama tepat di Kaliselatan.
andasudahmakanpagiyangenakbelum;Anda sudah makan pagi yang enak belum?
bisakahkamuantarkanakusaatpergikepantai;Bisakah kamu antarkan aku saat pergi ke pantai?
sayaberencanamembelijamtahterbarubagisaudalamulangtahunmu;Saya berencana membeli jam tangan terbaru bagi saudara dalam ulang tahunmu.
apakahkamubisamembantusayadengantugasrumahini;Apakah kamu bisa membantu saya dengan tugas rumah ini?
sayaberencanamengundangtemanterbaikkusaatpestaakhirpekanini;Saya berencana mengundang teman terbaikku saat pesta akhir pekan ini.
andaberencanamengunjungitempatturismuapakahakanberlibur;Anda berencana mengunjungi tempat wisatamu apakah akan berlibur?
kamusudahtahuapakahsayaberadaditugas;Kamu sudah tahu apakah saya berada di tugas?
sayaberencanamengajarkanmusenibisnissecarapraktis;Saya berencana mengajarkanmu bisnis secara praktis.
bisakahkamumembelikankamarisepasangantiketuntukkonserini;Bisakah kamu membelikan kami sepasang tiket untuk konser ini?
sayaberencanaberliburkesebuahpulaudalamwaktuliburankaliini;Saya berencana berlibur ke sebuah pulau dalam waktu liburan kali ini.
andaberencanakeacaraulangtahunsahabatapakahakanhadirditanggal12juli;Anda berencana ke acara ulang tahun sahabat, apakah akan hadir di tanggal 12 Juli?
bisakahkamumemperbaikikomputeriniadabanyakperangkatlunakyangtidakberfungsi;Bisakah kamu memperbaiki komputer ini? Ada banyak perangkat lunak yang tidak berfungsi.
sayasukamembacabukuyangmenarikdanmenginspirasibagisayadirumah;Saya suka membaca buku yang menarik dan menginspirasi bagi saya di rumah.
apakahkamuakanmenemanisayakepantaidalamliburanmusimpanasini;Apakah kamu akan menemaniku ke pantai dalam liburan musim panas ini?
sayainginmembelikanadikperempuankubukuceritayangmendidikdanmenghibur;Saya ingin membelikan adik perempuanku buku cerita yang mendidik dan menghibur.
andatidakhadirpadaseminarbisnisonlinekemarinapakahandaberhalangan;Anda tidak hadir pada seminar bisnis online kemarin, apakah Anda berhalangan?
sayaberencanamenyewamobiluntukperjalananbisnisminggudepan;Saya berencana menyewa mobil untuk perjalanan bisnis minggu depan.
apakahkamumengingatpesanankankopiuntuksemuaketikaandapergi;Apakah kamu mengingat pesan kopi untuk semua ketika kamu pergi?
sayasukamengajaridalamwaktuluangdanseringsalingbertukarpengetahuan;Saya suka mengajar di waktu luang dan sering saling bertukar pengetahuan.
bisakahkamuajakakuberkendaraansepedamotoruntukkelilingkota;Bisakah kamu ajak aku berkendaraan sepeda motor untuk keliling kota?
sayainginmakanbaksoapakahkamuingindatangbersamaku;Saya ingin makan bakso, apakah kamu ingin datang bersamaku?
bisakahandamembantusayamelakukanpembersihanrumahini;Bisakah Anda membantu saya melakukan pembersihan rumah ini?
andaberencanamenontonfilmseruapakahfilmtersebuttersediahariini;Anda berencana menonton film seru, apakah film tersebut tersedia hari ini?
sayalagimembacabukucerdasdandapatmenghilangkanstress;Saya lagi membaca buku cerdas dan dapat menghilangkan stress.
andakemarinmengajaksayakepantaiapakahkaliinikitaberangkat;Anda kemarin mengajak saya ke pantai, apakah kali ini kita berangkat?
bisakahandatangkepestaulangtahunsayatanpamembawasebuahhadiah;Bisakah Anda datang ke pesta ulang tahun saya tanpa membawa sebuah hadiah?
sayainginmembelikanorangtuasayasebuahhadiahistimewaapakahandabisa;Saya ingin membelikan orang tua saya sebuah hadiah istimewa, apakah Anda bisa?
apakahkamuadapergimengunjungirumahsakitkemarin;Apakah kamu ada pergi mengunjungi rumah sakit kemarin?
sayaberencanaberliburdanterbangketemaspantaidalamsepekan;Saya berencana berlibur dan pergi ke tema spa di pantai dalam seminggu.
apakahkamumengajakakuberbelanjasetiaphariminggu;Apakah kamu mengajak aku berbelanja setiap hari Minggu?
sayalagimemasakkuecoklatuntukpestaulangtahun;Saya lagi memasak kue coklat untuk pesta ulang tahun.
andaberencanaberliburdantinggalseminggu;Anda berencana berlibur dan tinggal seminggu.
bisakahandatangkeacarakesenianmalamini;Bisakah Anda datang ke acara kesenian malam ini?
sayaberobatkepustakandanhilangwaktu;Saya berobat ke perpustakaan dan hilang waktu.
apakahkamutahuberitentangkonsermusikbesok;Apakah kamu tau berita tentang konser musik besok?
andamembelikanbukucerdasuntukanakanda;Anda membelikan buku cerdas untuk anak Anda.
sayatidurterlalumalamdanbangunpagiterlalusiang;Saya tidur terlalu malam dan bangun pagi terlalu siang.
bisakahandatangkepestaakhirpekanini;Bisakah Anda datang ke pesta akhir pekan ini?
sayaberencanaberliburkepantaiuntukmerefreshdiri;Saya berencana berlibur ke pantai untuk me-refresh diri.
apakahkamuadahobibacayangmenarikuntukdijadikantemanobrol;Apakah kamu ada hobi baca yang menarik untuk dijadikan teman obrol?
sayaberencanaberliburdanmenjelajahpegunungan;Saya berencana berlibur dan menjelajah pegunungan.
andadapatmengajaktemanandauntukpergikepantai;Anda dapat mengajak teman Anda untuk pergi ke pantai.
bisakahandatangkeacarafestivalmusimpanasini;Bisakah Anda datang ke acara festival musim panas ini?
sayategangberusahamenyelesaikantugasakhirini;Saya tegang berusaha menyelesaikan tugas akhir ini.
apakahkamuadaberitaterkinimenarikuntukdibagikan;Apakah kamu ada berita terkini menarik untuk dibagikan?
andamembelikanhadiahspesialuntukorangtuamu;Anda membelikan hadiah spesial untuk orang tuamu.
sayalagimakanmalamdiwarungfavoritditempatini;Saya lagi makan malam di warung favorit di tempat ini.
bisakahandatangkepestaulangtahunsayaesok;Bisakah Anda datang ke pesta ulang tahun saya esok?
sayaberencanamenontonfilmyangmendebarkanmalaminin;Saya berencana menonton film yang mendebarkan malam ini.
apakahkamumemilikikemampuanbermainalatmusik;Apakah kamu memiliki kemampuan bermain alat musik?
sayaakanpergikepestaulangtahuntomorrow;Saya akan pergi ke pesta ulang tahun tomorrow.
bisakahandatangkekonsermusikminggudepan;Bisakah Anda datang ke konser musik minggu depan?
sayaberencanaberliburdanmenjelajahalammalamini;Saya berencana berlibur dan menjelajah alam malam ini.
apakahkamuberencanamenontonfilmdibioskophariini;Apakah kamu berencana menonton film di bioskop hari ini?
andamembelikantiketpesawatuntukpergikekotabesar;Anda membelikan tiket pesawat untuk pergi ke kota besar.
sayadatangkesekolahterlalutepatwaktupagihariini;Saya datang ke sekolah terlalu tepat waktu pagi hari ini.
bisakahandatangkesayadanmembantusayamengerjakantugas;Bisakah Anda datang ke saya dan membantu saya mengerjakan tugas?
sayalagimengirimkanemailpentinguntukproyekbesarini;Saya lagi mengirimkan email penting untuk proyek besar ini.
apakahkamumemilikiwaktuliburuntukbermainsepanjanghari;Apakah kamu memiliki waktu libur untuk bermain sepanjang hari?
andaseringberlatiholahragadanmenjagakesehatan;Anda sering berlatih olahraga dan menjaga kesehatan.
sayatinggaldidalamkotauntuksementarawaktuyanglamanya;Saya tinggal di dalam kota untuk sementara waktu yang lama.
kemarenkugodokanayamtahukemudiankutambahkansayurandatumbuhan;Kemarin ku godok an ayam tahu kemudian ku tambahkan sayuran dan tumbuhan.
apakahandaingindatangkesinidengandirisekarangjuga;Apakah Anda ingin datang ke sini dengan diri sekarang juga?
sayatidaktahumengapakamuadakesanmembosanibagisaya;Saya tidak tahu mengapa kamu ada kesan membosan i bagi saya.
bisakahkamumembelikankudebitkartupercobanantiketpesawat;Bisakah kamu membelikan ku debit kartu percobaan untuk tiket pesawat?
sayasedangmencarikusayanghilangdipantaiminggudepan;Saya sedang mencari kucing saya yang hilang di pantai minggu depan.
apakahkamuakanpergiuntukacarakeluargakamubulanini;Apakah kamu akan pergi untuk acara keluarga kamu bulan ini?
sayaberencanamemilikisebuahpestauntukmerayakanulangtahunku;Saya berencana memiliki sebuah pesta untuk merayakan ulang tahun ku.
andaberjalandengankakaklakisaatiniapakahandamembawakansesuatu;Anda berjalan dengan kakak laki saat ini, apakah Anda membawakan sesuatu?
bisakahkamumenjemputakuhariniuntukpergikepusatperbelanjaan;Bisakah kamu menjemput aku hari ini untuk pergi ke pusat perbelanjaan?
sayatinggaldirumahuntuksementarawaktuyanglama;Saya tinggal di rumah untuk sementara waktu yang lama.
kamulahpembawabarang-barangkuyanghilangbeberapawaktulalu;Kamu lah pembawa barang-barangku yang hilang beberapa waktu lalu.
apakahadapemilikrumahinyasudahmenyetujuikontraksewaanku;Apakah ada pemilik rumahnya sudah menyetujui kontrak sewaanku?
sayatidaktahumengapasiswaselalumenulisessaiyangpanjang;Saya tidak tahu mengapa siswa selalu menulis esai yang panjang.
bisakahkamumembantukuharicarapenerbanganuntukpergikejogja;Bisakah kamu membantu ku hari ini cari penerbangan untuk pergi ke Jogja?
sayasedangmencaritempatparkiryangnyamanuntukmobilku;Saya sedang mencari tempat parkir yang nyaman untuk mobil ku.
apakahandamauikutbersamakunontonsiarantentangpolitik;Apakah kamu mau ikut bersama ku nonton siaran tentang politik?
sayaberencanaberliburdanberpergiankepulauparadisidiakhirpekan;Saya berencana berlibur dan berpergian ke pulau paradise di akhir pekan.
kamuberbicaradengansuaramemekikanapakatongkangkesayangankita;Kamu berbicara dengan suara memekik an apa kata tongkang ke sayangan kita?
bisakahkamumenemukannomorhapekukesayanganyanghilangbeberapahariini;Bisakah kamu menemukan nomor hp ku sayangan yang hilang beberapa hari ini?
kamumaukekonsermusikbersamaku;Kamu mau ke konser musik bersama ku?
sayainginpesansebukankopiayo;Saya ingin pesan secangkir kopi ayo.
kapanpemutaranfilmdimulaidikota;Kapan pemutaran film dimulai di kota?
kamulahorangtuaanakitu;Kamu lah orang tua anak itu.
apakahkamumemilikiwaktuluangpadaakhirpekanini;Apakah kamu memiliki waktu luang pada akhir pekan ini?
sayasukabercocok-tanamdihalamanku;Saya suka bercocok-tanam di halamanku.
bisakahkamuikutturkepamerankaryaseniini;Bisakah kamu ikut tur ke pameran karya seni ini?
sayainginmakanmalamdenganmenuitalianya;Saya ingin makan malam dengan menu Italianya.
apakahandamaukeluarberbelanjadihariini;Apakah kamu mau keluar berbelanja di hari ini?
sayatidakbisaikutanpertandinganbulutangkisini;Saya tidak bisa ikut pertandingan bulu tangkis ini.
kamumaukemana;Kamu mau ke mana?
sayalagimalesmakan;Saya lagi males makan.
belijajangemuktapihabis;Beli jajan gemuk tapi habis.
semuanyaakanbaik-baikaja;Semuanya akan baik-baik aja.
andamauikutkelompokstudiini;Anda mau ikut kelompok studi ini?
jadwalpertandingannanti;Jadwal pertandingan nanti.
kepadamuapayangterjadisaatdiminimalisasi;Kepada mu apa yang terjadi saat di minimalisasi?
sayamauinginpakaibajubagusuntukpesta;Saya mau ingin pakai baju bagus untuk pesta.
bisakahkamubantupersiapanpesta;Bisakah kamu bantu persiapan pesta?
dimanakamubermainolahraga;Di mana kamu bermain olahraga?
selayangpandangkitadirumahsepi;Selayang pandang kita di rumah sepi.
andakamujanganberlamardenganbatik;Anda kamu jangan berlamar dengan batik.
belisayakemarinbelomuahabis;Beli saya kemarin belum muahabis.
jangandengankuatirakanhaltersebut;Jangan dengan kuatir akan hal tersebut.
pergiuntukbelanjadulu;Pergi untuk belanja dulu.
sayapergikepustakantarumawakamin;Saya pergi ke pustaka taruma kami.
maindirumahmenyenangkan;Main di rumah menyenangkan.
bisakahkamuajaktemankedatang;Bisakah kamu ajak teman kedatang?
lompatbukimulutdulu;Lompat buki mulut dulu.
bisakahandacarikesanainibaru;Bisakah anda cari kesan ini baru?
makananfavoritsayayaitsiauw;Makanan favorit saya ya itu siaw.
besokliburandiharapkanmenyensangkan;Besok liburan diharapkan menyenangkan.
bukankahmerekasudahbersinggungansebelumnya;Bukankah mereka sudah bersinggungan sebelumnya?
tidursebentarlagiselalumerasarefresh;Tidur sebentar lagi selalu merasa refresh.
kesulitanmemahamipersoalanmatematika;Kesulitan memahami persoalan matematika.
jangankemaribersamayatidakkabar-kabar;Jangan kemari bersama ya, tidak kabar-kabar.
hanyadenganmotivasipetualangankitalahbisamengalahkansegalarintangan;Hanya dengan motivasi petualangan kita lah bisa mengalahkan segala rintangan.
menjadimahasiswabukanyalahtentangbelajarmenghafalrumus;Menjadi mahasiswa bukanlah tentang belajar menghafal rumus.
dirikumenerimapesanansesuaidenganinstruksidiberikan;Diri ku menerima pesanan sesuai dengan instruksi diberikan.
keadaanjalanansekitarkampungsempitberlubang;Keadaan jalan sekitar kampung sempit berlubang.
sayamaukemana-mana;Saya mau kemana-mana.
besokkamubolehpergikemanapunyangkamuinginkan;Besok kamu boleh pergi ke mana pun yang kamu inginkan.
hargakamutentutidakmasalah;Harga kamu tentu tidak masalah.
tidurkemarinmalamtelatsekali;Tidur kemarin malam telat sekali.
belajarmatematikahanyapusingpala;Belajar matematika hanya pusing pala.
jangansuka-sukaikataoranglain;Jangan suka-suka kata orang lain.
semangatdanberusahalahmencapaiimpianmu;Semangat dan berusahalah mencapai impianmu.
makandisiniataumembawapulang;Makan di sini atau membawa pulang?
pesanansayatidakpernahkurangsekalipun;Pesanan saya tidak pernah kurang sekalipun.
kendaraanmerekaantrinyamikikomplit;Kendaraan mereka antri nyamikikomplit.
makansiangadabuah;Makan siang ada buah.
pergilahbersamaku;Pergilah bersamaku.
apakahkamuadapergi;Apakah kamu ada pergi?
kamusukabaca;Kamu suka baca.
kembalikesiniuntukbertemu;Kembali ke sini untuk bertemu.
berikanakuhasilnyasegera;Berikan aku hasilnya segera.
makanansangatsedapdanlezat;Makanan sangat sedap dan lezat.
kamugemaryangsudahlama;Kamu gemar yang sudah lama.
berkatalahpadanyaapaadayangkauinginkan;Berkatalah padanya apa ada yang kau inginkan.
tolongdatangkepadaku;Tolong datang kepadaku.
selamatpagiyangcantik;Selamat pagi yang cantik.
janganpergimeninggalkanku;Jangan pergi meninggalkanku.
kamusenangbermaindiawalpagi;Kamu senang bermain di awal pagi.
apakahkautahutentangmusikrock;Apakah kamu tahu tentang musik rock?
belilahsebuahbukudiwarungbukukesayanganmu;Belilah sebuah buku di warung buku kesayanganmu.
pergilahbersamakukepesta;Pergilah bersamaku ke pesta.
makanansangatlezatniharilibur;Makanan sangat lezat nihari libur.
apakahlukukumengijinkanhaltersebut;Apakah hukum mengijinkan hal tersebut?
tolakbajusudahtidakcocomenggunakannya;Tolak baju sudah tidak cocok, tidak gunakan.
berikanakurangamudalammembangunusaha;Berikan aku kurangmu dalam membangun usaha.
kamubisakahbantuaq;Kamu bisakah bantu aku?
satusmesterlagitahundepanlulus;Satu semester lagi tahun depan lulus.
kamerokokatautidakkah;Kamu rokok atau tidak, ya?
apakahkautahutentangkonferensipressterebarubulanini;Apakah kamu tahu tentang konferensi pers terbaru bulan ini?
tiketkonserterbatasbelisekarangjikainginhadir;Tiket konser terbatas, beli sekarang jika ingin hadir.
inginmakanayamgorengkriuk;Ingin makan ayam goreng kriuk.
bisakahandamemberikansaran;Bisakah anda memberikan saran?
akuharapkitadapatbertemukembalidisetengahhari;Aku harap kita dapat bertemu kembali di setengah hari.
pulanglahsecepatnyakarenaperjalandibatas;Pulanglah secepatnya karena perjalanan dibatasi.
bukumahalkalauinginbeliunduhbukuelektronik;Buku mahal kalau ingin beli, unduh buku elektronik.
maukemanaakitidakpergi;Mau ke mana, aku tidak pergi.
adacelahperempuanyangcantikkah;Ada cewek yang cantik, ya?
tolongselesaikantugaskuberapacepat;Tolong selesaikan tugasku, berapa cepat?
apakahkauhendakdatangkesinikonser;Apakah kau hendak datang ke sini konser?
berapahargatiketpesawatterendahbulanini;Berapa harga tiket pesawat rendah bulan ini?
bisakahkitaobrollebihlanjutdiwaktulain;Bisakah kita obrol lebih lanjut di waktu lain?
siapapengantarmenemukankucapaiuntukmengirimkabarini;Siapa pengantar menemukanku, capai untuk mengirim kabar ini.
kamumauapayangkutolong;Kamu mau apa yang aku tolong?
bisakahkautinggalkanpesanbagiku;Bisakah kau tinggalkan pesan bagiku?
jangantinggalkanakuseorangdiridiwartamu;Jangan tinggalkan aku sendiri diwartamu.
apakahandakberbelanjaminggudepan;Apakah akan berbelanja minggu depan?
jangandiamaninkotasendiriselamatmalam;Jangan diamkan kota sendiri, selamat malam.
bisakahkautinggalkanpesanbagiku;Bisakah kau tinggalkan pesan bagiku?
berapakahumurdarikakakperempuanmu;Berapa umur dari kakak perempuanmu?
mengapaharusberpikirtentangitusedikit;Mengapa harus berpikir tentang itu sedikit?
bisakahkamumembantuakusampaiditu;Bisakah kamu membantu aku sampai di situ?
apakahkitaakanbertemudimallini;Apakah kita akan bertemu di mal ini?
berapakahwaktutempuhperjalanandarikotakepadatanbandara;Berapa waktu tempuh perjalanan dari kota ke padat an bandara?
bisakahkautolongselesaikantugasku;Bisakah kau tolong selesaikan tugasku?
berapakahhargatiketpesawatterbangkemarin;Berapa harga tiket pesawat terbang kemarin?
apakahaandasukamakanmalamini;Apakah Anda suka makan malam ini?
bisakahkanakperempuansetengahbayakmeminjampulpen;Bisakah anak perempuan setengah baya meminjam pulpen?
kenapaharuskamumenghakimisepertiyangitu;Kenapa harus kamu menghakimi seperti itu?
berapahargamobilterbaruini;Berapa harga mobil terbaru ini?
bisaatidakhakamumenungguakusebentarlagi;Bisa atidak kamu menunggu aku sebentar lagi?
apakahkalianinginbermainbola;Apakah kalian ingin bermain bola?
mengapaharuskamubertindaksepertiterorist;Mengapa harus kamu bertindak seperti teroris?
berapahargatiketkonsermusiktersebut;Berapa harga tiket konser musik tersebut?
bisakahkamumemberikanpenjelasanlebihlanjut;Bisakah kamu memberikan penjelasan lebih lanjut?
apakahaandalammoodyangbaikhariini;Apakah anda dalam mood yang baik hari ini?
silahkanceknomorresiinyadiwebtersebut;Silahkan cek nomor resi-nya di web tersebut.
maukemanaandenganpantaisecantikini;Mau ke mana Anda dengan pantai secantik ini?
